이름,팀,ERA,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,FIP,WHIP,ERA+,FIP+,WAR,WPA
모리만도,22S, 1.67 , 12 , 0 , 0 , 12 , 7 , 1 , 0 , 0 , 75.1 , 19 , 14 , 304 , 57 , 8 , 0 , 2 , 23 , 0 , 4 , 67 , 0 , 2 , 2.98 , 1.06 , 248.9 , 139.8 , 3.12 , 2.28 
김민수,22K, 1.90 , 76 , 0 , 0 , 0 , 5 , 4 , 3 , 30 , 80.2 , 19 , 17 , 327 , 66 , 13 , 1 , 3 , 15 , 3 , 6 , 91 , 0 , 6 , 2.24 , 1.00 , 217.1 , 182.9 , 4.01 , 2.33 
구창모,22N, 2.10 , 19 , 0 , 0 , 19 , 11 , 5 , 0 , 0 , 111.2 , 32 , 26 , 451 , 92 , 16 , 0 , 7 , 29 , 0 , 4 , 108 , 0 , 7 , 3.11 , 1.08 , 194.4 , 132.0 , 3.96 , 2.49 
안우진,22키, 2.11 , 30 , 1 , 0 , 30 , 15 , 8 , 0 , 0 , 196.0 , 51 , 46 , 766 , 131 , 36 , 4 , 4 , 55 , 1 , 4 , 224 , 1 , 7 , 2.21 , 0.95 , 189.3 , 179.1 , 7.92 , 5.65 
김광현,22S, 2.13 , 28 , 0 , 0 , 28 , 13 , 3 , 0 , 0 , 173.1 , 48 , 41 , 694 , 141 , 16 , 2 , 10 , 45 , 2 , 5 , 153 , 0 , 1 , 3.15 , 1.07 , 195.5 , 132.7 , 6.10 , 3.63 
플럿코,22L, 2.39 , 28 , 0 , 0 , 28 , 15 , 5 , 0 , 0 , 162.0 , 53 , 43 , 644 , 125 , 18 , 2 , 13 , 38 , 2 , 2 , 149 , 0 , 6 , 3.25 , 1.01 , 166.4 , 121.6 , 4.79 , 2.44 
놀린,22K, 2.47 , 21 , 0 , 0 , 21 , 8 , 8 , 0 , 0 , 124.0 , 41 , 34 , 512 , 115 , 19 , 2 , 7 , 24 , 1 , 8 , 108 , 1 , 4 , 3.08 , 1.12 , 165.2 , 133.0 , 3.49 , 1.79 
수아레즈,22삼, 2.49 , 30 , 0 , 0 , 29 , 6 , 8 , 0 , 0 , 173.2 , 61 , 48 , 714 , 151 , 19 , 0 , 7 , 50 , 0 , 4 , 159 , 0 , 6 , 2.96 , 1.16 , 167.8 , 138.0 , 5.28 , 2.70 
켈리,22L, 2.54 , 27 , 0 , 0 , 27 , 16 , 4 , 0 , 0 , 166.1 , 50 , 47 , 664 , 144 , 10 , 4 , 10 , 35 , 0 , 2 , 153 , 0 , 3 , 2.95 , 1.08 , 156.3 , 134.7 , 5.19 , 3.45 
요키시,22키, 2.57 , 30 , 0 , 0 , 30 , 10 , 8 , 0 , 0 , 185.1 , 61 , 53 , 746 , 169 , 31 , 3 , 8 , 33 , 0 , 5 , 154 , 0 , 2 , 2.85 , 1.09 , 155.4 , 138.8 , 5.68 , 3.57 
