이름,WHIP,자책,삼진,WPA,폭투,사구,K%,BABIP,LOB%,타율(상대),OPS(상대)
모리만도,1.06,14.0,67.0,2.28,2.0,4.0,22.0,0.268,80.0,0.209,0.539
김민수,1.0,17.0,91.0,2.33,6.0,6.0,27.8,0.303,82.1,0.222,0.571
구창모,1.08,26.0,108.0,2.49,7.0,4.0,23.9,0.286,80.7,0.224,0.595
안우진,0.95,46.0,224.0,5.65,7.0,4.0,29.2,0.268,75.4,0.188,0.518
김광현,1.07,41.0,153.0,3.63,1.0,5.0,22.0,0.276,80.8,0.222,0.578
플럿코,1.01,43.0,149.0,2.44,6.0,2.0,23.1,0.256,76.3,0.21,0.57
놀린,1.12,34.0,108.0,1.79,4.0,8.0,21.1,0.3,77.3,0.244,0.628
수아레즈,1.16,48.0,159.0,2.7,6.0,4.0,22.3,0.296,73.8,0.232,0.583
켈리,1.08,47.0,153.0,3.45,3.0,2.0,23.0,0.29,78.4,0.232,0.583
요키시,1.09,53.0,154.0,3.57,2.0,5.0,20.6,0.302,74.6,0.244,0.613
파노니,1.23,24.0,73.0,0.58,5.0,2.0,21.0,0.308,74.2,0.248,0.627
폰트,0.95,55.0,170.0,2.91,5.0,6.0,23.3,0.247,75.7,0.207,0.577
벤자민,1.02,29.0,77.0,1.07,3.0,4.0,20.0,0.242,78.8,0.216,0.612
엄상백,1.22,46.0,139.0,1.7,1.0,4.0,23.9,0.294,79.2,0.239,0.674
루친스키,1.13,64.0,194.0,2.8,9.0,8.0,24.3,0.318,72.2,0.249,0.645
뷰캐넌,1.34,54.0,117.0,1.83,2.0,8.0,16.9,0.327,77.5,0.279,0.704
소형준,1.15,58.0,117.0,1.41,6.0,5.0,16.6,0.285,70.2,0.244,0.614
노경은,1.16,27.0,55.0,1.21,5.0,4.0,17.0,0.275,76.4,0.238,0.624
정철원,1.18,25.0,47.0,1.1,7.0,2.0,16.0,0.267,75.2,0.232,0.644
김시훈,1.42,30.0,79.0,0.44,2.0,4.0,21.6,0.298,77.5,0.24,0.678
고영표,1.17,66.0,156.0,2.38,1.0,16.0,20.6,0.335,73.1,0.269,0.657
김윤식,1.33,42.0,81.0,1.2,4.0,1.0,16.8,0.331,73.3,0.28,0.689
스탁,1.48,65.0,138.0,-0.98,12.0,10.0,19.1,0.317,69.2,0.258,0.699
장민재,1.29,50.0,75.0,0.64,3.0,4.0,14.1,0.277,77.4,0.259,0.716
최원준,1.33,66.0,113.0,-0.53,2.0,7.0,15.8,0.306,74.4,0.279,0.749
김명신,1.26,32.0,61.0,0.17,4.0,3.0,18.3,0.297,72.9,0.253,0.66
이태양,1.25,45.0,61.0,0.86,0.0,5.0,12.9,0.281,76.6,0.267,0.723
반즈,1.19,75.0,160.0,0.56,7.0,18.0,20.3,0.306,66.9,0.247,0.641
최원태,1.27,44.0,63.0,0.83,5.0,5.0,14.1,0.269,67.4,0.237,0.651
박세웅,1.35,66.0,146.0,-0.14,7.0,8.0,21.5,0.361,67.1,0.286,0.715
곽빈,1.38,62.0,138.0,0.45,9.0,11.0,21.4,0.313,74.1,0.253,0.711
양현종,1.26,75.0,141.0,0.27,3.0,3.0,19.0,0.297,67.4,0.253,0.677
이의리,1.31,66.0,161.0,-0.53,7.0,9.0,24.0,0.272,71.0,0.222,0.69
원태인,1.29,72.0,130.0,0.74,3.0,4.0,18.6,0.314,73.0,0.27,0.698
나균안,1.38,52.0,123.0,-0.72,6.0,3.0,24.3,0.36,69.6,0.273,0.727
이인복,1.45,59.0,71.0,0.01,4.0,4.0,13.0,0.339,69.4,0.303,0.729
배제성,1.39,50.0,89.0,-0.54,8.0,1.0,19.4,0.307,67.7,0.256,0.693
임기영,1.34,61.0,82.0,-0.24,2.0,5.0,14.8,0.294,75.3,0.274,0.761
애플러,1.51,67.0,86.0,-0.24,4.0,6.0,13.8,0.339,74.6,0.304,0.792
김민우,1.39,79.0,129.0,0.53,13.0,8.0,18.1,0.274,72.0,0.237,0.722
오원석,1.5,72.0,112.0,-0.91,6.0,3.0,17.7,0.323,71.2,0.279,0.756
송명기,1.58,54.0,106.0,-0.51,9.0,15.0,21.4,0.336,71.3,0.276,0.819
데스파이네,1.51,82.0,123.0,-1.34,7.0,9.0,17.0,0.355,68.4,0.304,0.767
신민혁,1.34,60.0,105.0,-0.38,5.0,10.0,20.2,0.318,70.9,0.275,0.767
이재학,1.42,48.0,72.0,-0.27,6.0,8.0,17.7,0.267,62.3,0.224,0.664
한현희,1.38,41.0,59.0,0.24,2.0,8.0,17.1,0.303,69.3,0.268,0.76
이영하,1.68,54.0,83.0,-1.43,8.0,6.0,18.0,0.342,64.8,0.283,0.742
임찬규,1.47,58.0,75.0,-0.78,3.0,7.0,16.3,0.319,68.3,0.281,0.753
백정현,1.53,72.0,70.0,-1.38,9.0,9.0,12.5,0.314,73.3,0.302,0.851
한승혁,1.74,47.0,69.0,-1.83,6.0,6.0,18.4,0.378,67.0,0.308,0.795
최승용,1.58,55.0,64.0,-0.3,1.0,2.0,15.1,0.318,65.3,0.278,0.759
스파크맨,1.65,50.0,89.0,-0.88,5.0,4.0,23.1,0.379,65.6,0.291,0.77
정찬헌,1.53,52.0,42.0,-1.37,3.0,6.0,10.8,0.31,69.8,0.302,0.833
이민호,1.58,73.0,73.0,-0.9,9.0,7.0,13.5,0.333,67.5,0.305,0.829
남지민,1.73,63.0,41.0,-2.02,5.0,3.0,9.8,0.314,61.6,0.298,0.806
윤대경,1.63,62.0,51.0,-2.23,5.0,7.0,14.6,0.38,55.1,0.335,0.853
