이름,팀,FIP,출장,이닝,ERA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,타율(상대),출루율(상대),장타율(상대),OPS(상대),WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP+
안우진,22키, 2.21 , 30 , 196.0 , 2.11 , 10.29 , 2.53 , 4.07 , 0.18 , 29.2 , 7.2 , 22.1 , 1.42 , .268 , 75.4 , .188 , .250 , .268 , .518 , 0.95 , 0.97 , 3003 , 6.5 , 100.1 , 15.3 , 3.92 , 89.4 
김민수,22K, 2.24 , 76 , 80.2 , 1.90 , 10.15 , 1.67 , 6.07 , 0.34 , 27.8 , 4.6 , 23.2 , 1.31 , .303 , 82.1 , .222 , .269 , .302 , .571 , 1.00 , 1.08 , 1213 , 1.1 , 16.0 , 15.0 , 3.71 , 37.4 
고영표,22K, 2.75 , 28 , 182.1 , 3.26 , 7.70 , 1.14 , 6.78 , 0.35 , 20.6 , 3.0 , 17.5 , 0.98 , .335 , 73.1 , .269 , .306 , .351 , .657 , 1.17 , 1.26 , 2617 , 6.5 , 93.5 , 14.4 , 3.45 , 53.8 
나균안,22롯, 2.79 , 39 , 117.2 , 3.98 , 9.41 , 2.83 , 3.32 , 0.38 , 24.3 , 7.3 , 17.0 , 1.36 , .360 , 69.6 , .273 , .329 , .397 , .727 , 1.38 , 1.40 , 1961 , 3.0 , 50.3 , 16.7 , 3.88 , 22.1 
요키시,22키, 2.85 , 30 , 185.1 , 2.57 , 7.48 , 1.60 , 4.67 , 0.39 , 20.6 , 4.4 , 16.2 , 1.01 , .302 , 74.6 , .244 , .282 , .331 , .613 , 1.09 , 1.12 , 2912 , 6.2 , 97.1 , 15.7 , 3.90 , 65.1 
박세웅,22롯, 2.89 , 28 , 157.1 , 3.78 , 8.35 , 1.83 , 4.56 , 0.46 , 21.5 , 4.7 , 16.8 , 1.13 , .361 , 67.1 , .286 , .328 , .387 , .715 , 1.35 , 1.40 , 2599 , 5.6 , 92.8 , 16.5 , 3.83 , 37.3 
루친스키,22N, 2.91 , 31 , 193.2 , 2.97 , 9.02 , 1.58 , 5.71 , 0.65 , 24.3 , 4.3 , 20.1 , 1.18 , .318 , 72.2 , .249 , .288 , .357 , .645 , 1.13 , 1.17 , 2974 , 6.3 , 95.9 , 15.4 , 3.73 , 62.2 
켈리,22L, 2.95 , 27 , 166.1 , 2.54 , 8.28 , 1.89 , 4.37 , 0.54 , 23.0 , 5.3 , 17.8 , 1.13 , .290 , 78.4 , .232 , .273 , .309 , .583 , 1.08 , 1.09 , 2515 , 6.2 , 93.2 , 15.1 , 3.79 , 67.5 
수아레즈,22삼, 2.96 , 30 , 173.2 , 2.49 , 8.24 , 2.59 , 3.18 , 0.36 , 22.3 , 7.0 , 15.3 , 1.20 , .296 , 73.8 , .232 , .290 , .293 , .583 , 1.16 , 1.18 , 2959 , 5.8 , 98.6 , 17.0 , 4.14 , 60.7 
모리만도,22S, 2.98 , 12 , 75.1 , 1.67 , 8.00 , 2.75 , 2.91 , 0.24 , 22.0 , 7.6 , 14.5 , 1.20 , .268 , 80.0 , .209 , .279 , .260 , .539 , 1.06 , 1.12 , 1178 , 6.3 , 98.2 , 15.6 , 3.88 , 37.4 
놀린,22K, 3.08 , 21 , 124.0 , 2.47 , 7.84 , 1.74 , 4.50 , 0.51 , 21.1 , 4.7 , 16.4 , 1.07 , .300 , 77.3 , .244 , .290 , .338 , .628 , 1.12 , 1.19 , 1987 , 5.9 , 94.6 , 16.0 , 3.88 , 46.8 
구창모,22N, 3.11 , 19 , 111.2 , 2.10 , 8.70 , 2.34 , 3.72 , 0.56 , 23.9 , 6.4 , 17.5 , 1.23 , .286 , 80.7 , .224 , .281 , .314 , .595 , 1.08 , 1.12 , 1756 , 5.9 , 92.4 , 15.7 , 3.89 , 51.6 
김광현,22S, 3.15 , 28 , 173.1 , 2.13 , 7.94 , 2.34 , 3.40 , 0.52 , 22.0 , 6.5 , 15.6 , 1.14 , .276 , 80.8 , .222 , .278 , .300 , .578 , 1.07 , 1.10 , 2634 , 6.2 , 94.1 , 15.2 , 3.80 , 74.0 
김윤식,22L, 3.17 , 23 , 114.1 , 3.31 , 6.38 , 2.13 , 3.00 , 0.39 , 16.8 , 5.6 , 11.2 , 0.95 , .331 , 73.3 , .280 , .321 , .368 , .689 , 1.33 , 1.34 , 1793 , 5.0 , 78.0 , 15.7 , 3.71 , 31.3 
반즈,22롯, 3.21 , 31 , 186.1 , 3.62 , 7.73 , 2.27 , 3.40 , 0.39 , 20.3 , 6.0 , 14.3 , 1.11 , .306 , 66.9 , .247 , .308 , .333 , .641 , 1.19 , 1.29 , 2945 , 6.0 , 95.0 , 15.8 , 3.74 , 46.2 
플럿코,22L, 3.25 , 28 , 162.0 , 2.39 , 8.28 , 2.11 , 3.92 , 0.72 , 23.1 , 5.9 , 17.2 , 1.15 , .256 , 76.3 , .210 , .258 , .313 , .570 , 1.01 , 1.02 , 2578 , 5.8 , 92.1 , 15.9 , 4.00 , 67.9 
파노니,22K, 3.30 , 14 , 82.2 , 2.61 , 7.95 , 2.61 , 3.04 , 0.54 , 21.0 , 6.9 , 14.1 , 1.17 , .308 , 74.2 , .248 , .305 , .322 , .627 , 1.23 , 1.26 , 1404 , 5.9 , 100.3 , 17.0 , 4.03 , 27.6 
